Symbol,Name,Avg Daily Share Volume (3mo),AUM
SQQQ,ProShares UltraPro Short QQQ,"99,716,734","$1,948,510.00 "
UVXY,ProShares Ultra VIX Short-Term Futures,"93,248,375","$979,098.00 "
SPY,SPDR S&P 500 ETF,"87,215,063","$364,238,000.00 "
XLF,Financial Select Sector SPDR Fund,"60,596,535","$43,637,800.00 "
QQQ,Invesco QQQ,"55,311,926","$155,519,000.00 "
EEM,iShares MSCI Emerging Markets ETF,"42,868,762","$31,563,400.00 "
TQQQ,ProShares UltraPro QQQ,"40,951,082","$11,056,700.00 "
XLE,Energy Select Sector SPDR Fund,"33,429,563","$25,285,800.00 "
EWZ,iShares MSCI Brazil ETF,"32,973,473","$6,617,730.00 "
IWM,iShares Russell 2000 ETF,"30,568,689","$65,496,700.00 "
SLV,iShares Silver Trust,"26,878,129","$15,636,100.00 "
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,"25,539,746","$21,598,900.00 "
IAU,iShares Gold Trust,"22,869,984","$29,343,500.00 "
EFA,iShares MSCI EAFE ETF,"21,622,012","$57,556,200.00 "
GDX,VanEck Vectors Gold Miners ETF,"21,443,465","$15,715,700.00 "
SOXL,Direxion Daily Semiconductor Bull 3x Shares,"20,781,395","$3,915,760.00 "
FXI,iShares China Large-Cap ETF,"18,785,215","$4,379,660.00 "
SDS,ProShares UltraShort S&P 500,"16,764,830","$597,855.00 "
TLT,iShares 20+ Year Treasury Bond ETF,"16,124,643","$12,624,100.00 "
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"15,559,789","$41,135,000.00 "
ARKK,ARK Innovation ETF,"13,900,240","$19,807,100.00 "
SDOW,ProShares UltraPro Short Dow30,"13,284,714","$364,155.00 "
XLI,Industrial Select Sector SPDR Fund,"12,974,922","$21,260,000.00 "
XLP,Consumer Staples Select Sector SPDR Fund,"12,836,977","$10,854,900.00 "
XLU,Utilities Select Sector SPDR Fund,"12,227,661","$12,204,900.00 "
IEMG,iShares Core MSCI Emerging Markets ETF,"11,434,479","$80,192,700.00 "
SH,ProShares Short S&P 500,"11,214,698","$1,387,230.00 "
VWO,Vanguard FTSE Emerging Markets ETF,"10,285,508","$79,565,300.00 "
JNK,SPDR Barclays High Yield Bond ETF,"10,129,498","$9,860,080.00 "
VEA,Vanguard FTSE Developed Markets ETF,"9,423,662","$100,001,000.00 "
QID,ProShares UltraShort QQQ,"9,327,744","$241,943.00 "
XLV,Health Care Select Sector SPDR Fund,"9,256,161","$27,535,900.00 "
SOXS,Direxion Daily Semiconductor Bear 3x Shares,"9,093,711","$88,120.50 "
VIXY,ProShares VIX Short-Term Futures ETF,"9,045,573","$315,453.00 "
GLD,SPDR Gold Trust,"8,904,771","$60,654,200.00 "
XLK,Technology Select Sector SPDR Fund,"8,812,063","$39,071,900.00 "
TZA,Direxion Daily Small Cap Bear 3X Shares,"8,711,283","$374,560.00 "
IEFA,iShares Core MSCI EAFE ETF,"8,573,654","$94,659,700.00 "
KRE,SPDR S&P Regional Banking ETF,"8,533,510","$5,609,480.00 "
SPXU,ProShares UltraPro Short S&P 500,"8,505,219","$476,659.00 "
IEF,iShares 7-10 Year Treasury Bond ETF,"8,305,331","$13,366,300.00 "
TNA,Direxion Daily Small Cap Bull 3X Shares,"7,971,690","$1,654,270.00 "
PSQ,ProShares Short QQQ,"7,862,886","$620,133.00 "
ICLN,iShares Global Clean Energy ETF,"7,803,403","$5,407,390.00 "
IYR,iShares U.S. Real Estate ETF,"7,800,508","$5,243,050.00 "
XBI,SPDR S&P Biotech ETF,"7,671,273","$6,832,470.00 "
SPXS,Direxion Daily S&P 500 Bear 3X Shares,"7,641,479","$406,133.00 "
XOP,SPDR S&P Oil & Gas Exploration & Production ETF,"7,640,756","$4,052,320.00 "
XLB,Materials Select Sector SPDR ETF,"7,082,066","$8,990,880.00 "
EWJ,iShares MSCI Japan ETF,"7,062,245","$12,487,800.00 "
SPXL,Direxion Daily S&P 500 Bull 3X Shares,"7,003,825","$2,236,700.00 "
GDXJ,VanEck Vectors Junior Gold Miners ETF,"6,726,439","$5,799,860.00 "
USO,United States Oil Fund,"6,376,419","$3,035,520.00 "
SRTY,ProShares UltraPro Short Russell2000,"6,361,472","$105,113.00 "
JETS,U.S. Global Jets ETF,"6,191,484","$3,851,170.00 "
AGG,iShares Core U.S. Aggregate Bond ETF,"6,144,435","$87,397,500.00 "
BKLN,Invesco Senior Loan ETF,"5,969,672","$6,641,340.00 "
EWH,iShares MSCI Hong Kong ETF,"5,856,072","$1,195,770.00 "
BND,Vanguard Total Bond Market ETF,"5,718,033","$74,567,300.00 "
GOVT,iShares U.S. Treasury Bond ETF,"5,615,492","$16,324,300.00 "
SJNK,SPDR Barclays Capital Short Term High Yield Bond ETF,"5,360,736","$4,483,370.00 "
XME,SPDR S&P Metals & Mining ETF,"5,327,523","$2,342,710.00 "
RSX,VanEck Vectors Russia ETF,"5,255,188","$1,801,190.00 "
ERX,Direxion Daily Energy Bull 2X Shares,"5,188,148","$707,177.00 "
SVXY,ProShares Short VIX Short-Term Futures,"5,064,374","$544,812.00 "
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,"4,974,314","$19,491,900.00 "
UPRO,ProShares UltraPro S&P 500,"4,965,798","$2,399,040.00 "
SMH,VanEck Vectors Semiconductor ETF,"4,908,442","$5,282,650.00 "
PFF,iShares Preferred and Income Securities ETF,"4,806,548","$19,060,100.00 "
XLRE,Real Estate Select Sector SPDR Fund,"4,800,819","$2,900,540.00 "
IJR,iShares Core S&P Small-Cap ETF,"4,661,983","$69,245,300.00 "
IVV,iShares Core S&P 500 ETF,"4,616,636","$278,709,000.00 "
ARKG,ARK Genomic Revolution ETF,"4,517,858","$7,901,040.00 "
VOO,Vanguard S&P 500 ETF,"4,506,003","$221,807,000.00 "
DIA,SPDR Dow Jones Industrial Average ETF,"4,470,769","$30,740,800.00 "
VNQ,Vanguard Real Estate Index Fund,"4,449,447","$38,953,400.00 "
XLC,Communication Services Select Sector SPDR Fund,"4,404,325","$13,389,400.00 "
TBT,UltraShort Barclays 20+ Year Treasury,"4,397,672","$1,358,440.00 "
INDA,iShares MSCI India ETF,"4,389,039","$5,410,720.00 "
VTI,Vanguard Total Stock Market ETF,"4,347,178","$239,631,000.00 "
XLY,Consumer Discretionary Select Sector SPDR Fund,"4,206,044","$20,136,300.00 "
VGK,Vanguard FTSE Europe ETF,"4,081,284","$17,587,400.00 "
SCO,ProShares UltraShort Bloomberg Crude Oil,"4,006,195","$72,307.60 "
EWY,iShares MSCI South Korea ETF,"3,957,567","$7,022,620.00 "
SPLV,Invesco S&P 500® Low Volatility ETF,"3,943,194","$8,194,750.00 "
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,"3,879,563","$45,129,100.00 "
EWT,iShares MSCI Taiwan ETF,"3,819,742","$7,104,630.00 "
EZU,iShares MSCI EMU ETF,"3,818,417","$5,903,070.00 "
PGX,Invesco Preferred ETF,"3,807,081","$6,999,890.00 "
EWC,iShares MSCI Canada ETF,"3,745,427","$4,273,020.00 "
LABD,Direxion Daily S&P Biotech Bear 3x Shares,"3,743,863","$49,562.90 "
IBB,iShares Nasdaq Biotechnology ETF,"3,698,753","$9,664,400.00 "
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,"3,698,367","$5,425,400.00 "
EWU,iShares MSCI United Kingdom ETF,"3,691,691","$3,853,710.00 "
MCHI,iShares MSCI China ETF,"3,665,230","$6,750,530.00 "
JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares,"3,612,451","$87,191.10 "
USMV,iShares Edge MSCI Min Vol USA ETF,"3,598,714","$29,069,700.00 "
